EN,FR,ES,CS,DE,PL
steak,steak,filete,steak,Steak,stek
stew,ragoût,estofado,guláš,Stew,gulasz
stir-fry,sauté,salteado,smažení,Rührbraten,stir-fry
stomach,estomac,estómago,žaludek,Magen,żołądek
stove,poêle,estufa,kamna,Herd,piec
straw,paille,paja,sláma,Stroh,słoma
strawberry,fraise,fresa,jahody,Erdbeere,truskawka
string bean,haricot à fil,judía verde,fazolový lusk,Saubohne,fasolka szparagowa
stringy,filandreux,fibroso,strunný,stringig,żylasty
strudel,strudel,strudel,štrúdl,Strudel,strudel
sub sandwich,sous-sandwich,sub sandwich,sendvič se subdodávkou,Sandwich,sub kanapka
submarine sandwich,sandwich au sous-marin,sándwich submarino,sendvič s ponorkou,belegtes Brötchen,kanapka submarine
succotash,succotash,succotash,succotash,Succotash,sukkotasz
suet,suif,sebo,suet,Talg,łój
sugar,sucre,azúcar,cukr,Zucker,cukier
summer squash,courge d'été,calabaza de verano,letní dýně,Sommerkürbis,kabaczek letni
sundae,sundae,helado,sundae,Eisbecher,sundae
sunflower,tournesol,girasol,slunečnice,Sonnenblume,słonecznik
supper,dîner,cena,večeře,Abendbrot,kolacja
sushi,sushi,sushi,sushi,Sushi,sushi
sustenance,subsistance,sustento,výživa,Unterhalt,utrzymanie
sweet,doux,dulce,sladké,süß,słodki
sweet potato,patate douce,batata,sladké brambory,Süßkartoffel,słodki ziemniak
Swiss chard,Bette à carde,Acelgas,Švýcarský mangold,Mangold,Boćwina szwajcarska
syrup,sirop,jarabe,sirup,Sirup,syrop
taco,taco,taco,taco,Taco,taco
take-out,à emporter,comida para llevar,take-out,Zum Mitnehmen,na wynos
tamale,tamale,tamal,tamale,Tamale,tamale
tangerine,mandarine,mandarina,mandarinka,Mandarine,mandarynka
tapioca,tapioca,tapioca,tapioka,Tapioka,tapioka
taro,taro,taro,taro,Taro,taro
tarragon,estragon,estragón,estragon,Estragon,estragon
tart,tarte,tarta,koláč,tart,tarta
tea,thé,té,čaj,Tee,herbata
teapot,théière,tetera,konvice na čaj,Teekanne,imbryk
teriyaki,teriyaki,teriyaki,teriyaki,Teriyaki,teriyaki
thyme,thym,tomillo,tymián,Thymian,tymianek
toast,toast,tostadas,toast,Toast,toast
toaster,grille-pain,tostadora,topinkovač,Toaster,toster
toffee,caramel,toffee,toffee,Toffee,toffi
tofu,tofu,tofu,tofu,Tofu,tofu
tomatillo,tomate,tomatillo,tomatillo,Tomatillo,tomatillo
tomato,tomate,tomate,rajče,Tomate,pomidor
torte,torte,tarta,torte,Torte,tort
tortilla,tortilla,tortilla,tortilla,Tortilla,tortilla
tuber,tubercule,tubérculo,hlízy,Knolle,bulwa
tuna,thon,atún,tuňák,Thunfisch,tuńczyk
turkey,dinde,pavo,krocan,Truthahn,indyk
turmeric,curcuma,cúrcuma,kurkuma,Kurkuma,kurkuma
turnip,navet,nabo,tuřín,Rübe,rzepa
ugli fruit,fruit de l'ugli,fruta ugli,ovoce ugli,Uglifrucht,owoc ugli
unleavened,sans levain,sin levadura,nekvašené,ungesäuert,przaśny
utensils,ustensiles,utensilios,náčiní,Utensilien,przybory
vanilla,vanille,vainilla,vanilka,Vanille,wanilia
veal,veau,ternera,telecí maso,Kalbfleisch,cielęcina
vegetable,légume,verduras,zelenina,Gemüse,warzywo
venison,venaison,venado,zvěřina,Wildbret,dziczyzna
vinegar,vinaigre,vinagre,ocet,Essig,ocet
vitamin,vitamine,vitamina,vitamín,Vitamin,witamina
wafer,plaquette,oblea,oplatky,Wafer,wafel
waffle,gaufre,gofre,vafle,Waffel,wafel
walnut,noyer,nogal,ořech,Walnuss,orzech
wasabi,wasabi,wasabi,wasabi,Wasabi,wasabi
water,l'eau,agua,voda,Wasser,woda
water chestnut,châtaigne d'eau,castaña de agua,vodní kaštan,Wasserkastanie,kasztan wodny
watercress,cresson de fontaine,berros,řeřicha,Brunnenkresse,rukiew wodna
watermelon,melon d'eau,sandía,meloun,Wassermelone,arbuz
wheat,blé,trigo,pšenice,Weizen,pszenica
whey,lactosérum,suero de leche,syrovátka,Molke,serwatka
whipped cream,crème fouettée,nata montada,šlehačka,Schlagsahne,bita śmietana
wok,wok,wok,wok,Wok,wok
yam,igname,ñame,yam,Süßkartoffel,ignam
yeast,levure,levadura,kvasinky,Hefe,drożdże
yogurt,yaourt,yogur,jogurt,Joghurt,jogurt
yolk,jaune d'œuf,yema,žloutek,Dotter,żółtko
zucchini,courgettes,calabacín,cuketa,Zucchini,cukinia
