word,FR,ES,CS,DE,PL
stomach,estomac,estómago,žaludek,Magen,żołądek
stove,poêle,estufa,kamna,Herd,piec
straw,paille,paja,sláma,Stroh,słoma
strawberry,fraise,fresa,jahody,Erdbeere,truskawka
string bean,haricot à fil,judía verde,fazole na provázku,Saubohne,fasola szparagowa
stringy,filandreux,fibroso,strunný,fadenförmig,żylasty
strudel,strudel,strudel,štrúdl,Strudel,strudel
sub sandwich,sous-sandwich,sub sándwich,sendvič se subdodávkou,Sandwich,sub kanapka
submarine sandwich,sandwich au sous-marin,sándwich submarino,sendvič s ponorkou,Submarine-Sandwich,kanapka submarine
succotash,succotash,succotash,succotash,succotash,sukkotasz
suet,suif,suet,suet,Talg,łój
sugar,sucre,azúcar,cukr,Zucker,cukier
summer squash,courge d'été,calabaza de verano,letní dýně,Sommerkürbis,kabaczek letni
sundae,sundae,helado,sundae,Eisbecher,sundae
sunflower,tournesol,girasol,slunečnice,Sonnenblume,słonecznik
supper,souper,cena,večeře,Abendbrot,kolacja
sushi,sushi,sushi,sushi,Sushi,sushi
sustenance,subsistance,sustento,výživa,Unterhalt,utrzymanie
sweet,doux,dulce,sweet,süß,słodki
sweet potato,patate douce,batata,sladké brambory,Süßkartoffel,słodki ziemniak
Swiss chard,Bette à carde,Acelga,Švýcarský mangold,Mangold,Boćwina szwajcarska
syrup,sirop,jarabe,sirup,Sirup,syrop
taco,taco,taco,taco,taco,taco
take-out,à emporter,comida para llevar,take-out,Zum Mitnehmen,na wynos
tamale,tamale,tamal,tamale,tamale,tamale
tangerine,mandarine,mandarina,mandarinka,Mandarine,mandarynka
tapioca,tapioca,tapioca,tapioka,Tapioka,tapioka
taro,taro,taro,taro,Taro,taro
tarragon,estragon,estragón,estragon,Estragon,estragon
tart,tarte,tarta,tart,tart,tarta
tea,thé,té,čaj,Tee,herbata
teapot,théière,tetera,konvice na čaj,Teekanne,imbryk
teriyaki,teriyaki,teriyaki,teriyaki,teriyaki,teriyaki
thyme,thym,tomillo,tymián,Thymian,tymianek
toast,toast,tostadas,toast,Toast,toast
toaster,grille-pain,tostadora,topinkovač,Toaster,toster
toffee,caramel,toffee,toffee,Toffee,toffi
tofu,tofu,tofu,tofu,Tofu,tofu
tomatillo,tomatillo,tomatillo,tomatillo,Tomatillo,tomatillo
tomato,tomate,tomate,rajče,Tomate,pomidor
torte,torte,torta,torte,Torte,tort
tortilla,tortilla,tortilla,tortilla,Tortilla,tortilla
tuber,tubercule,tubérculo,hlízy,Knolle,bulwa
tuna,thon,atún,tuňák,Thunfisch,tuńczyk
turkey,dinde,pavo,krocan,Truthahn,indyk
turmeric,curcuma,cúrcuma,kurkuma,Kurkuma,kurkuma
turnip,navet,nabo,tuřín,Rübe,rzepa
ugli fruit,ugli fruit,ugli fruta,ugli ovoce,uglifrüchte,owoce ugli
unleavened,sans levain,sin levadura,nekvašené,ungesäuert,przaśny
utensils,ustensiles,utensilios,náčiní,Utensilien,przybory
vanilla,vanille,vainilla,vanilka,Vanille,wanilia
veal,veau,ternera,telecí maso,Kalbfleisch,cielęcina
vegetable,légumes,verdura,zelenina,Gemüse,warzywo
venison,venaison,venado,zvěřina,Wildbret,dziczyzna
vinegar,vinaigre,vinagre,ocet,Essig,ocet
vitamin,vitamine,vitamina,vitamín,Vitamin,witamina
wafer,galette,oblea,oplatky,Wafer,wafel
waffle,gaufre,gofre,vafle,Waffel,gofr
walnut,noyer,nogal,ořech,Walnuss,orzech
wasabi,wasabi,wasabi,wasabi,Wasabi,wasabi
water,l'eau,agua,voda,Wasser,woda
water chestnut,châtaigne d'eau,castaña de agua,vodní kaštan,Wasserkastanie,kasztanowiec
watercress,cresson,berro,řeřicha,Brunnenkresse,rukiew wodna
watermelon,melon d'eau,sandía,meloun,Wassermelone,arbuz
wheat,blé,trigo,pšenice,Weizen,pszenica
whey,lactosérum,suero de leche,syrovátka,Molke,serwatka
whipped cream,crème fouettée,nata montada,šlehačka,Schlagsahne,bita śmietana
wok,wok,wok,wok,Wok,wok
yam,yam,ñame,yam,yam,ignam
yeast,levure,levadura,kvasinky,Hefe,drożdże
yogurt,yaourt,yogur,jogurt,Joghurt,jogurt
yolk,jaune d'œuf,yema,žloutek,Dotter,żółtko
zucchini,courgette,calabacín,cuketa,Zucchini,cukinia
